logline	Stuart Shepard finds himself trapped in a phone booth, pinned down by an extortionist's sniper rifle.
tagline	A ringing phone has to be answered.
tagline	This morning everything was fine
tagline	Your life is on the line.
tagline	Just Keep Talking!
tagline	Its now or never
tagline	No options. No lies. No fear. No deals. Just keep talking.
tagline	New York City...12 million people...22 million phones...one billion connections a day
tagline	Today someone has his number
tagline	Hang Up And You Die
