logline	In a future where a special police unit is able to arrest murderers before they commit their crimes, an officer from that unit is himself accused of a future murder.
tagline	What would you do if you were accused of a murder, you had not committed... yet?
tagline	Everybody Runs
tagline	The system is perfect until it comes after you.
tagline	Get Ready to RUN!
tagline	The Future Can Be Seen. Murder Can be Prevented. The Guilty Punished Before the Crime is Committed. The System is Perfect. It's Never Wrong. Until It Comes After You.
tagline	Everybody Runs...
tagline	You Can't Hide
tagline	Count to 3 and get ready to run...
tagline	You can't hide. Get ready to run!
